DATE,COMMUNITY CODE,,ANIMAL,LICENSE VOLUME
04/01/2018,HPK,Highland Park,CATS,135
04/01/2018,HPK,Highland Park,DOGS,275
04/01/2018,HIW,Highwood,CATS,86
04/01/2018,HIW,Highwood,DOGS,228
04/01/2018,HIL,Hillhurst,CATS,182
04/01/2018,HIL,Hillhurst,DOGS,404
04/01/2018,HOR,Horizon,CATS,0
04/01/2018,HOR,Horizon,DOGS,0
04/01/2018,HOU,Hounsfield Heights/Briar Hill,CATS,66
04/01/2018,HOU,Hounsfield Heights/Briar Hill,DOGS,164
04/01/2018,HUN,Huntington Hills,CATS,555
04/01/2018,HUN,Huntington Hills,DOGS,1143
04/01/2018,ING,Inglewood,CATS,250
04/01/2018,ING,Inglewood,DOGS,496
04/01/2018,KEL,Kelvin Grove,CATS,73
04/01/2018,KEL,Kelvin Grove,DOGS,115
04/01/2018,KIL,Killarney/Glengarry,CATS,255
04/01/2018,KIL,Killarney/Glengarry,DOGS,594
04/01/2018,KCA,Kincora,CATS,161
04/01/2018,KCA,Kincora,DOGS,259
04/01/2018,KIN,Kingsland,CATS,161
04/01/2018,KIN,Kingsland,DOGS,259
04/01/2018,LKB,Lake Bonavista,CATS,342
04/01/2018,LKB,Lake Bonavista,DOGS,1047
04/01/2018,LKV,Lakeview,CATS,209
04/01/2018,LKV,Lakeview,DOGS,601
04/01/2018,LEG,Legacy,CATS,100
04/01/2018,LEG,Legacy,DOGS,316
04/01/2018,LPK,Lincoln Park,CATS,57
04/01/2018,LPK,Lincoln Park,DOGS,61
04/01/2018,LMR,Lower Mount Royal,CATS,92
04/01/2018,LMR,Lower Mount Royal,DOGS,132
04/01/2018,MAC,Macewan Glen,CATS,180
04/01/2018,MAC,Macewan Glen,DOGS,524
04/01/2018,MAH,Mahogany,CATS,200
04/01/2018,MAH,Mahogany,DOGS,700
04/01/2018,MNI,Manchester Industrial,CATS,2
04/01/2018,MNI,Manchester Industrial,DOGS,5
04/01/2018,MAN,Manchester,CATS,21
04/01/2018,MAN,Manchester,DOGS,14
04/01/2018,MPL,Maple Ridge,CATS,100
04/01/2018,MPL,Maple Ridge,DOGS,269
04/01/2018,MPK,Marlborough Park,CATS,298
04/01/2018,MPK,Marlborough Park,DOGS,635
04/01/2018,MRL,Marlborough,CATS,230
04/01/2018,MRL,Marlborough,DOGS,503
04/01/2018,MRT,Martindale,CATS,220
04/01/2018,MRT,Martindale,DOGS,495
04/01/2018,MAF,Mayfair,CATS,11
04/01/2018,MAF,Mayfair,DOGS,65
04/01/2018,MAL,Mayland Heights,CATS,223
04/01/2018,MAL,Mayland Heights,DOGS,459
04/01/2018,MLI,Mayland,CATS,1
04/01/2018,MLI,Mayland,DOGS,0
04/01/2018,MCI,Mccall,CATS,1
04/01/2018,MCI,Mccall,DOGS,1
04/01/2018,MCK,Mckenzie Lake,CATS,515
04/01/2018,MCK,Mckenzie Lake,DOGS,1584
04/01/2018,MCT,Mckenzie Towne,CATS,702
