DATE,COMMUNITY CODE,COMMUNITY NAME,ANIMAL,LICENSE VOLUME
04/01/2018,GTI,GOLDEN TRIANGLE,CATS,0
04/01/2018,GTI,GOLDEN TRIANGLE,DOGS,0
04/01/2018,GPI,GREAT PLAINS,CATS,0
04/01/2018,GPI,GREAT PLAINS,DOGS,0
04/01/2018,GRI,GREENVIEW INDUSTRIAL PARK,CATS,1
04/01/2018,GRI,GREENVIEW INDUSTRIAL PARK,DOGS,5
04/01/2018,GRV,GREENVIEW,CATS,108
04/01/2018,GRV,GREENVIEW,DOGS,98
04/01/2018,GRE,GREENWOOD/GREENBRIAR,CATS,87
04/01/2018,GRE,GREENWOOD/GREENBRIAR,DOGS,135
04/01/2018,HAM,HAMPTONS,CATS,85
04/01/2018,HAM,HAMPTONS,DOGS,335
04/01/2018,HAR,HARVEST HILLS,CATS,215
04/01/2018,HAR,HARVEST HILLS,DOGS,672
04/01/2018,HAW,HAWKWOOD,CATS,283
04/01/2018,HAW,HAWKWOOD,DOGS,799
04/01/2018,HAY,HAYSBORO,CATS,301
04/01/2018,HAY,HAYSBORO,DOGS,629
04/01/2018,HID,HIDDEN VALLEY,CATS,369
04/01/2018,HID,HIDDEN VALLEY,DOGS,1082
04/01/2018,HIF,HIGHFIELD,CATS,0
04/01/2018,HIF,HIGHFIELD,DOGS,0
04/01/2018,HPK,HIGHLAND PARK,CATS,135
04/01/2018,HPK,HIGHLAND PARK,DOGS,275
04/01/2018,HIW,HIGHWOOD,CATS,86
04/01/2018,HIW,HIGHWOOD,DOGS,228
04/01/2018,HIL,HILLHURST,CATS,182
04/01/2018,HIL,HILLHURST,DOGS,404
04/01/2018,HOR,HORIZON,CATS,0
04/01/2018,HOR,HORIZON,DOGS,0
04/01/2018,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,CATS,66
04/01/2018,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,DOGS,164
04/01/2018,HUN,HUNTINGTON HILLS,CATS,555
04/01/2018,HUN,HUNTINGTON HILLS,DOGS,1143
04/01/2018,ING,INGLEWOOD,CATS,250
04/01/2018,ING,INGLEWOOD,DOGS,496
04/01/2018,KEL,KELVIN GROVE,CATS,73
04/01/2018,KEL,KELVIN GROVE,DOGS,115
04/01/2018,KIL,KILLARNEY/GLENGARRY,CATS,255
04/01/2018,KIL,KILLARNEY/GLENGARRY,DOGS,594
04/01/2018,KCA,KINCORA,CATS,161
04/01/2018,KCA,KINCORA,DOGS,259
04/01/2018,KIN,KINGSLAND,CATS,161
04/01/2018,KIN,KINGSLAND,DOGS,259
04/01/2018,LKB,LAKE BONAVISTA,CATS,342
04/01/2018,LKB,LAKE BONAVISTA,DOGS,1047
04/01/2018,LKV,LAKEVIEW,CATS,209
04/01/2018,LKV,LAKEVIEW,DOGS,601
04/01/2018,LEG,LEGACY,CATS,100
04/01/2018,LEG,LEGACY,DOGS,316
04/01/2018,LPK,LINCOLN PARK,CATS,57
04/01/2018,LPK,LINCOLN PARK,DOGS,61
04/01/2018,LMR,LOWER MOUNT ROYAL,CATS,92
04/01/2018,LMR,LOWER MOUNT ROYAL,DOGS,132
04/01/2018,MAC,MACEWAN GLEN,CATS,180
04/01/2018,MAC,MACEWAN GLEN,DOGS,524
04/01/2018,MAH,MAHOGANY,CATS,200
04/01/2018,MAH,MAHOGANY,DOGS,700
04/01/2018,MNI,MANCHESTER INDUSTRIAL,CATS,2
04/01/2018,MNI,MANCHESTER INDUSTRIAL,DOGS,5
04/01/2018,MAN,MANCHESTER,CATS,21
04/01/2018,MAN,MANCHESTER,DOGS,14
04/01/2018,MPL,MAPLE RIDGE,CATS,100
04/01/2018,MPL,MAPLE RIDGE,DOGS,269
04/01/2018,MPK,MARLBOROUGH PARK,CATS,298
04/01/2018,MPK,MARLBOROUGH PARK,DOGS,635
04/01/2018,MRL,MARLBOROUGH,CATS,230
04/01/2018,MRL,MARLBOROUGH,DOGS,503
04/01/2018,MRT,MARTINDALE,CATS,220
04/01/2018,MRT,MARTINDALE,DOGS,495
04/01/2018,MAF,MAYFAIR,CATS,11
04/01/2018,MAF,MAYFAIR,DOGS,65
04/01/2018,MAL,MAYLAND HEIGHTS,CATS,223
04/01/2018,MAL,MAYLAND HEIGHTS,DOGS,459
04/01/2018,MLI,MAYLAND,CATS,1
04/01/2018,MLI,MAYLAND,DOGS,0
04/01/2018,MCI,MCCALL,CATS,1
04/01/2018,MCI,MCCALL,DOGS,1
04/01/2018,MCK,MCKENZIE LAKE,CATS,515
04/01/2018,MCK,MCKENZIE LAKE,DOGS,1584
04/01/2018,MCT,MCKENZIE TOWNE,CATS,702
04/01/2018,MCT,MCKENZIE TOWNE,DOGS,1810
04/01/2018,MEA,MEADOWLARK PARK,CATS,24
04/01/2018,MEA,MEADOWLARK PARK,DOGS,81
04/01/2018,MER,MERIDIAN,CATS,0
04/01/2018,MER,MERIDIAN,DOGS,2
04/01/2018,MID,MIDNAPORE,CATS,301
04/01/2018,MID,MIDNAPORE,DOGS,655
04/01/2018,MLR,MILLRISE,CATS,217
04/01/2018,MLR,MILLRISE,DOGS,510
04/01/2018,MIS,MISSION,CATS,128
04/01/2018,MIS,MISSION,DOGS,198
04/01/2018,MOR,MONTEREY PARK,CATS,161
04/01/2018,MOR,MONTEREY PARK,DOGS,377
04/01/2018,MON,MONTGOMERY,CATS,168
04/01/2018,MON,MONTGOMERY,DOGS,420
04/01/2018,MOP,MOUNT PLEASANT,CATS,234
